comment_date,comment_score,content,movie_name
2005-10-28,5,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”,肖申克的救赎
2006-03-22,5,不需要女主角的好电影,肖申克的救赎
2008-02-27,5,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》,肖申克的救赎
2008-05-09,5,"“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。
当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？
经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。",肖申克的救赎
2010-03-27,5,策划了19年的私奔……,肖申克的救赎
2006-06-20,5,关于希望最强有力的注释。,肖申克的救赎
2007-06-06,5,有种鸟是关不住的.,肖申克的救赎
2006-01-02,5,"超级喜欢超级喜欢,不看的话人生不圆满.",肖申克的救赎
2007-08-29,5,"忒经典的东西,我要带去我的坟墓",肖申克的救赎
2006-02-04,5,"Fear Can Hold You Prisoner, Hope Can Set You Free",肖申克的救赎
2012-05-28,5,这样的男人谁会舍得背叛。。。,肖申克的救赎
2008-06-08,3,"在我的心目中,它一直都是最被高估的电影。",肖申克的救赎
2006-06-15,5,"一部没有爱情与美女的电影,却光芒四射",肖申克的救赎
2008-01-14,4,人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.i hope,肖申克的救赎
2006-11-13,5,没有人会不喜欢吧！书和电影都好。,肖申克的救赎
2009-10-07,4,"Hope is a good thing, and maybe the best thing of all.",肖申克的救赎
2005-10-08,5,因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！,肖申克的救赎
2007-02-20,5,hope is a good thing,肖申克的救赎
2007-08-21,5,越狱我感觉就是改编自这个,肖申克的救赎
2018-01-13,5,一部没有女主，没有爱情，没有特技的好片子，也是很多大学英语老师喜欢放给学生看的片子，这部片子讲诉的就是一个很纯粹的故事，一次的救赎，换回了自由，也是一种信念驱使他这么做，这部片子是感人的，它也让很多人成长。,肖申克的救赎
2012-02-13,4,音乐真棒，看到最后有些意犹未尽。很舒服的电影，故事有趣又会带些感动。两个完全不同世界的人，因为教育、知识、习惯等各种不同造成情节冲突及笑料；而彼此的影响和同化则是感动的部分。对于菲利普来说，有时需要的未必是小心翼翼的服侍，而是像对待普通人一样的无歧视对待。,触不可及
2012-02-16,5,我想每个人都至少有这么一个挚友，你和他/她在人生的拐点遇到，惊叹于彼此的不同或者相似，有过不少平淡无奇却值得纪念的时光，ta会将心比心，为你的哀伤扼腕，为你的快慰击节，更会在ta的心里，为你留下那么一块永恒的位置，任白云苍狗，风云变幻。 ,触不可及
2012-02-18,4,开怀大笑一整场，最后却蓦然飙泪。身份、地位、财富、性格、教养、爱好、年龄，各方面皆如此悬殊的两人，磁场却契合完美。无论爱情友情，所谓好的、有爱的关系，是两个人都在关系里感到开心融合、自由释放、并因而成长。什么是灵魂伴侣？这，就是传说中的，灵魂伴侣。,触不可及
2012-02-27,5,对残障人士最大的尊重，就是不要把他们当做残障人士。尊重比爱和同情心更高等级,触不可及
